"start_time","end_time","発電計画kW","需要計画kW"
2025-10-12 12:00:00.000 +0900,2025-10-12 12:30:00.000 +0900,0,0
2025-10-12 12:30:00.000 +0900,2025-10-12 13:00:00.000 +0900,0,0
2025-10-12 13:00:00.000 +0900,2025-10-12 13:30:00.000 +0900,0,0
2025-10-12 13:30:00.000 +0900,2025-10-12 14:00:00.000 +0900,0,0
2025-10-12 14:00:00.000 +0900,2025-10-12 14:30:00.000 +0900,0,0
2025-10-12 14:30:00.000 +0900,2025-10-12 15:00:00.000 +0900,0,0
2025-10-12 15:00:00.000 +0900,2025-10-12 15:30:00.000 +0900,0,0
2025-10-12 15:30:00.000 +0900,2025-10-12 16:00:00.000 +0900,0,0
2025-10-12 16:00:00.000 +0900,2025-10-12 16:30:00.000 +0900,0,0
2025-10-12 16:30:00.000 +0900,2025-10-12 17:00:00.000 +0900,0,0
2025-10-12 17:00:00.000 +0900,2025-10-12 17:30:00.000 +0900,0,0
2025-10-12 17:30:00.000 +0900,2025-10-12 18:00:00.000 +0900,0,0
2025-10-14 06:00:00.000 +0900,2025-10-14 06:30:00.000 +0900,0,0
2025-10-14 06:30:00.000 +0900,2025-10-14 07:00:00.000 +0900,0,0
2025-10-14 07:00:00.000 +0900,2025-10-14 07:30:00.000 +0900,0,0
2025-10-14 07:30:00.000 +0900,2025-10-14 08:00:00.000 +0900,0,0
2025-10-14 08:00:00.000 +0900,2025-10-14 08:30:00.000 +0900,0,0
2025-10-14 08:30:00.000 +0900,2025-10-14 09:00:00.000 +0900,0,0
2025-10-14 09:00:00.000 +0900,2025-10-14 09:30:00.000 +0900,0,0
2025-10-14 09:30:00.000 +0900,2025-10-14 10:00:00.000 +0900,0,0
2025-10-14 10:00:00.000 +0900,2025-10-14 10:30:00.000 +0900,0,0
2025-10-14 10:30:00.000 +0900,2025-10-14 11:00:00.000 +0900,0,0
2025-10-14 11:00:00.000 +0900,2025-10-14 11:30:00.000 +0900,0,0
2025-10-14 11:30:00.000 +0900,2025-10-14 12:00:00.000 +0900,0,0
2025-10-14 12:00:00.000 +0900,2025-10-14 12:30:00.000 +0900,0,0
2025-10-14 12:30:00.000 +0900,2025-10-14 13:00:00.000 +0900,0,0
2025-10-14 13:00:00.000 +0900,2025-10-14 13:30:00.000 +0900,0,0
2025-10-14 13:30:00.000 +0900,2025-10-14 14:00:00.000 +0900,0,0
2025-10-14 14:00:00.000 +0900,2025-10-14 14:30:00.000 +0900,0,0
2025-10-14 14:30:00.000 +0900,2025-10-14 15:00:00.000 +0900,0,0
2025-10-14 15:00:00.000 +0900,2025-10-14 15:30:00.000 +0900,0,0
2025-10-14 15:30:00.000 +0900,2025-10-14 16:00:00.000 +0900,0,0
2025-10-14 16:00:00.000 +0900,2025-10-14 16:30:00.000 +0900,0,0
2025-10-14 16:30:00.000 +0900,2025-10-14 17:00:00.000 +0900,0,0
2025-10-14 17:00:00.000 +0900,2025-10-14 17:30:00.000 +0900,0,0
2025-10-14 17:30:00.000 +0900,2025-10-14 18:00:00.000 +0900,0,0
2025-10-15 16:30:00.000 +0900,2025-10-15 17:00:00.000 +0900,0,0
2025-10-15 17:00:00.000 +0900,2025-10-15 17:30:00.000 +0900,0,0
2025-10-15 17:30:00.000 +0900,2025-10-15 18:00:00.000 +0900,0,0
2025-10-10 06:00:00.000 +0900,2025-10-10 06:30:00.000 +0900,0,0
2025-10-10 06:30:00.000 +0900,2025-10-10 07:00:00.000 +0900,0,0
2025-10-10 07:00:00.000 +0900,2025-10-10 07:30:00.000 +0900,0,0
2025-10-10 07:30:00.000 +0900,2025-10-10 08:00:00.000 +0900,0,0
2025-10-10 08:00:00.000 +0900,2025-10-10 08:30:00.000 +0900,0,0
2025-10-10 08:30:00.000 +0900,2025-10-10 09:00:00.000 +0900,0,0
2025-10-10 09:00:00.000 +0900,2025-10-10 09:30:00.000 +0900,0,0
2025-10-10 09:30:00.000 +0900,2025-10-10 10:00:00.000 +0900,0,0
2025-10-10 10:00:00.000 +0900,2025-10-10 10:30:00.000 +0900,0,0
2025-10-10 10:30:00.000 +0900,2025-10-10 11:00:00.000 +0900,0,0
2025-10-10 11:00:00.000 +0900,2025-10-10 11:30:00.000 +0900,0,0
2025-10-10 11:30:00.000 +0900,2025-10-10 12:00:00.000 +0900,0,0
2025-10-10 12:00:00.000 +0900,2025-10-10 12:30:00.000 +0900,0,0
2025-10-10 12:30:00.000 +0900,2025-10-10 13:00:00.000 +0900,0,0
2025-10-10 13:00:00.000 +0900,2025-10-10 13:30:00.000 +0900,0,0
2025-10-10 13:30:00.000 +0900,2025-10-10 14:00:00.000 +0900,0,0
2025-10-10 14:00:00.000 +0900,2025-10-10 14:30:00.000 +0900,0,0
2025-10-10 14:30:00.000 +0900,2025-10-10 15:00:00.000 +0900,0,0
2025-10-10 15:00:00.000 +0900,2025-10-10 15:30:00.000 +0900,0,0
2025-10-10 15:30:00.000 +0900,2025-10-10 16:00:00.000 +0900,0,0
2025-10-10 16:00:00.000 +0900,2025-10-10 16:30:00.000 +0900,0,0
2025-10-10 16:30:00.000 +0900,2025-10-10 17:00:00.000 +0900,0,0
2025-10-10 17:00:00.000 +0900,2025-10-10 17:30:00.000 +0900,0,0
2025-10-10 17:30:00.000 +0900,2025-10-10 18:00:00.000 +0900,0,0
2025-10-13 06:00:00.000 +0900,2025-10-13 06:30:00.000 +0900,0,0
2025-10-13 06:30:00.000 +0900,2025-10-13 07:00:00.000 +0900,0,0
2025-10-13 07:00:00.000 +0900,2025-10-13 07:30:00.000 +0900,0,0
2025-10-13 07:30:00.000 +0900,2025-10-13 08:00:00.000 +0900,0,0
2025-10-13 08:00:00.000 +0900,2025-10-13 08:30:00.000 +0900,0,0
2025-10-13 09:00:00.000 +0900,2025-10-13 09:30:00.000 +0900,0,0
2025-10-13 08:30:00.000 +0900,2025-10-13 09:00:00.000 +0900,0,0
2025-10-13 09:30:00.000 +0900,2025-10-13 10:00:00.000 +0900,0,0
2025-10-13 10:00:00.000 +0900,2025-10-13 10:30:00.000 +0900,0,0
2025-10-13 10:30:00.000 +0900,2025-10-13 11:00:00.000 +0900,0,0
2025-10-13 11:00:00.000 +0900,2025-10-13 11:30:00.000 +0900,0,0
2025-10-13 11:30:00.000 +0900,2025-10-13 12:00:00.000 +0900,0,0
2025-10-13 12:00:00.000 +0900,2025-10-13 12:30:00.000 +0900,0,0
2025-10-13 12:30:00.000 +0900,2025-10-13 13:00:00.000 +0900,0,0
2025-10-13 13:00:00.000 +0900,2025-10-13 13:30:00.000 +0900,0,0
2025-10-13 13:30:00.000 +0900,2025-10-13 14:00:00.000 +0900,0,0
2025-10-13 14:00:00.000 +0900,2025-10-13 14:30:00.000 +0900,0,0
2025-10-13 14:30:00.000 +0900,2025-10-13 15:00:00.000 +0900,0,0
2025-10-13 15:00:00.000 +0900,2025-10-13 15:30:00.000 +0900,0,0
2025-10-13 15:30:00.000 +0900,2025-10-13 16:00:00.000 +0900,0,0
2025-10-13 16:00:00.000 +0900,2025-10-13 16:30:00.000 +0900,0,0
2025-09-20 06:00:00.000 +0900,2025-09-20 06:30:00.000 +0900,0,0
2025-09-20 06:30:00.000 +0900,2025-09-20 07:00:00.000 +0900,0,0
2025-09-20 07:00:00.000 +0900,2025-09-20 07:30:00.000 +0900,0,0
2025-09-20 07:30:00.000 +0900,2025-09-20 08:00:00.000 +0900,0,0
2025-09-20 08:00:00.000 +0900,2025-09-20 08:30:00.000 +0900,0,0
2025-09-20 08:30:00.000 +0900,2025-09-20 09:00:00.000 +0900,0,0
2025-09-20 09:00:00.000 +0900,2025-09-20 09:30:00.000 +0900,0,0
2025-09-20 09:30:00.000 +0900,2025-09-20 10:00:00.000 +0900,0,0
2025-09-20 10:00:00.000 +0900,2025-09-20 10:30:00.000 +0900,0,0
2025-09-20 10:30:00.000 +0900,2025-09-20 11:00:00.000 +0900,0,0
2025-09-20 11:00:00.000 +0900,2025-09-20 11:30:00.000 +0900,0,0
2025-09-20 11:30:00.000 +0900,2025-09-20 12:00:00.000 +0900,0,0
2025-09-20 12:00:00.000 +0900,2025-09-20 12:30:00.000 +0900,0,0
2025-09-20 12:30:00.000 +0900,2025-09-20 13:00:00.000 +0900,0,0
2025-09-20 13:00:00.000 +0900,2025-09-20 13:30:00.000 +0900,0,0
2025-09-20 13:30:00.000 +0900,2025-09-20 14:00:00.000 +0900,0,0
2025-09-20 14:00:00.000 +0900,2025-09-20 14:30:00.000 +0900,0,0
2025-09-20 14:30:00.000 +0900,2025-09-20 15:00:00.000 +0900,0,0
2025-09-20 15:00:00.000 +0900,2025-09-20 15:30:00.000 +0900,0,0
2025-09-20 15:30:00.000 +0900,2025-09-20 16:00:00.000 +0900,0,0
2025-09-20 16:00:00.000 +0900,2025-09-20 16:30:00.000 +0900,0,0
2025-09-20 16:30:00.000 +0900,2025-09-20 17:00:00.000 +0900,0,0
2025-09-20 17:00:00.000 +0900,2025-09-20 17:30:00.000 +0900,0,0
2025-09-20 17:30:00.000 +0900,2025-09-20 18:00:00.000 +0900,0,0
2025-09-21 06:00:00.000 +0900,2025-09-21 06:30:00.000 +0900,0,0
2025-09-21 06:30:00.000 +0900,2025-09-21 07:00:00.000 +0900,0,0
2025-09-21 07:00:00.000 +0900,2025-09-21 07:30:00.000 +0900,0,0
2025-09-21 07:30:00.000 +0900,2025-09-21 08:00:00.000 +0900,0,0
2025-09-21 08:00:00.000 +0900,2025-09-21 08:30:00.000 +0900,0,0
2025-09-21 08:30:00.000 +0900,2025-09-21 09:00:00.000 +0900,0,0
2025-09-21 09:00:00.000 +0900,2025-09-21 09:30:00.000 +0900,0,0
2025-09-21 09:30:00.000 +0900,2025-09-21 10:00:00.000 +0900,0,0
2025-09-21 10:00:00.000 +0900,2025-09-21 10:30:00.000 +0900,0,0
2025-09-21 10:30:00.000 +0900,2025-09-21 11:00:00.000 +0900,0,0
2025-09-21 11:00:00.000 +0900,2025-09-21 11:30:00.000 +0900,0,0
2025-09-21 11:30:00.000 +0900,2025-09-21 12:00:00.000 +0900,0,0
2025-09-21 12:00:00.000 +0900,2025-09-21 12:30:00.000 +0900,0,0
2025-09-21 12:30:00.000 +0900,2025-09-21 13:00:00.000 +0900,0,0
2025-09-21 13:00:00.000 +0900,2025-09-21 13:30:00.000 +0900,0,0
2025-09-21 13:30:00.000 +0900,2025-09-21 14:00:00.000 +0900,0,0
2025-09-21 14:00:00.000 +0900,2025-09-21 14:30:00.000 +0900,0,0
2025-09-21 14:30:00.000 +0900,2025-09-21 15:00:00.000 +0900,0,0
2025-09-21 15:00:00.000 +0900,2025-09-21 15:30:00.000 +0900,0,0
2025-09-21 15:30:00.000 +0900,2025-09-21 16:00:00.000 +0900,0,0
2025-09-21 16:00:00.000 +0900,2025-09-21 16:30:00.000 +0900,0,0
2025-09-21 16:30:00.000 +0900,2025-09-21 17:00:00.000 +0900,0,0
2025-09-21 17:00:00.000 +0900,2025-09-21 17:30:00.000 +0900,0,0
2025-09-21 17:30:00.000 +0900,2025-09-21 18:00:00.000 +0900,0,0
2025-09-24 06:00:00.000 +0900,2025-09-24 06:30:00.000 +0900,0,0
2025-09-24 06:30:00.000 +0900,2025-09-24 07:00:00.000 +0900,0,0
2025-09-24 07:00:00.000 +0900,2025-09-24 07:30:00.000 +0900,0,0
2025-09-24 08:00:00.000 +0900,2025-09-24 08:30:00.000 +0900,0,0
2025-09-24 07:30:00.000 +0900,2025-09-24 08:00:00.000 +0900,0,0
2025-09-24 08:30:00.000 +0900,2025-09-24 09:00:00.000 +0900,0,0
2025-09-24 09:00:00.000 +0900,2025-09-24 09:30:00.000 +0900,0,0
2025-09-24 09:30:00.000 +0900,2025-09-24 10:00:00.000 +0900,0,0
2025-09-24 10:00:00.000 +0900,2025-09-24 10:30:00.000 +0900,0,0
2025-09-24 10:30:00.000 +0900,2025-09-24 11:00:00.000 +0900,0,0
2025-09-24 11:00:00.000 +0900,2025-09-24 11:30:00.000 +0900,0,0
2025-09-24 11:30:00.000 +0900,2025-09-24 12:00:00.000 +0900,0,0
2025-09-22 06:00:00.000 +0900,2025-09-22 06:30:00.000 +0900,0,1998
2025-09-22 06:30:00.000 +0900,2025-09-22 07:00:00.000 +0900,0,1998
2025-09-22 07:00:00.000 +0900,2025-09-22 07:30:00.000 +0900,0,1998
2025-09-22 07:30:00.000 +0900,2025-09-22 08:00:00.000 +0900,0,1998
2025-09-22 08:00:00.000 +0900,2025-09-22 08:30:00.000 +0900,0,1998
2025-09-22 08:30:00.000 +0900,2025-09-22 09:00:00.000 +0900,0,1998
2025-09-22 09:00:00.000 +0900,2025-09-22 09:30:00.000 +0900,0,0
2025-09-22 09:30:00.000 +0900,2025-09-22 10:00:00.000 +0900,0,0
2025-09-22 10:00:00.000 +0900,2025-09-22 10:30:00.000 +0900,0,0
2025-09-22 10:30:00.000 +0900,2025-09-22 11:00:00.000 +0900,0,0
2025-09-22 11:00:00.000 +0900,2025-09-22 11:30:00.000 +0900,0,0
2025-09-22 11:30:00.000 +0900,2025-09-22 12:00:00.000 +0900,0,0
2025-09-22 12:00:00.000 +0900,2025-09-22 12:30:00.000 +0900,0,532
2025-09-22 12:30:00.000 +0900,2025-09-22 13:00:00.000 +0900,0,532
2025-09-22 13:00:00.000 +0900,2025-09-22 13:30:00.000 +0900,0,532
